63.68092,-115.8293,-322.7412,-291.0098,-266.8584,-259.2066,-252.5923,-246.2699,-236.605,-220.7496,-208.9987,-201.9419,-191.7602,-182.8277,-182.519,-154.4905,-86.52658,-75.16779,-82.1222,-76.94446,-115.8396,-156.078,-161.5909,-165.4516,-164.3039,-162.477,-165.4554,-169.7584,-179.4452,-184.6123,-187.8925,-188.2421,-185.69,-181.1061,-177.0718,-169.3543,-157.7704,-156.197,-146.9997,-127.9588,-80.60618,-14.37037,73.66672,-97.43275,86.30697,7.63E-06,0.2213098,0.4679547
65.84792,-115.3456,-320.8956,-288.9398,-267.2205,-257.4794,-250.8063,-244.5144,-236.9761,-219.3975,-209.7108,-200.6814,-190.8079,-181.6343,-182.3998,-155.0931,-88.54194,-75.82598,-78.85307,-75.65344,-117.0203,-158.0397,-158.9826,-162.5878,-161.977,-160.676,-163.6171,-168.9514,-177.9115,-182.6117,-187.051,-187.1135,-183.7403,-179.4446,-174.903,-168.8388,-156.2185,-154.5435,-145.5788,-124.5685,-79.86554,-13.52505,75.09715,-96.46447,87.8482,0.1109387,-3.21E-05,1.170182
66.44986,-115.2247,-320.6495,-288.5746,-266.617,-257.1093,-250.1685,-244.7652,-234.8735,-220.0121,-208.88,-200.1772,-191.4031,-183.1857,-183.5919,-154.9726,-86.66093,-75.29943,-79.76842,-75.65344,-118.0698,-155.2198,-155.8525,-162.3275,-161.5892,-161.7052,-163.2231,-167.6062,-178.5506,-182.834,-186.3298,-185.4207,-183.855,-179.9558,-175.1582,-168.9677,-156.8651,-154.2891,-145.7079,-126.4277,-80.48273,-13.64581,75.33556,-95.01205,87.7381,-0.3327847,-0.3313844,1.170182
65.12559,-116.3129,-322.372,-289.4269,-267.0998,-259.33,-251.0615,-245.016,-236.4814,-219.3975,-209.1174,-201.0595,-190.5699,-181.0376,-180.85,-155.2136,-87.33273,-75.43107,-77.5454,-76.42805,-117.8074,-154.852,-160.9388,-165.5818,-161.46,-160.676,-163.3544,-167.0682,-178.1671,-183.612,-186.45,-186.2107,-183.3962,-179.3167,-174.3928,-167.0344,-155.184,-153.9075,-143.6411,-123.9123,-79.37178,-12.43822,75.81237,-94.04378,89.93986,-0.4437157,-3.21E-05,0.936102
66.0887,-115.4665,-321.1416,-288.3311,-267.3412,-255.9989,-249.7858,-243.2605,-234.8735,-218.1684,-207.8119,-199.5469,-189.8557,-180.5603,-181.8037,-148.8268,-90.5573,-74.37796,-80.02995,-75.39525,-116.2332,-156.5685,-160.678,-163.2387,-160.6843,-159.1323,-161.91,-167.3372,-176.1222,-182.5006,-186.3298,-186.0978,-183.2815,-179.3167,-174.6479,-168.581,-155.9599,-154.0347,-145.4496,-125.8809,-79.00146,-13.04202,75.21635,-96.34343,87.18767,-0.1109226,-0.7731886,0.7020283
66.0887,-115.5874,-319.9112,-287.4788,-266.8583,-255.6288,-248.51,-242.5081,-233.1419,-217.0622,-206.7438,-198.5384,-189.1415,-180.3216,-179.7771,-147.7422,-85.31735,-74.64124,-78.19924,-74.62064,-118.857,-158.0397,-160.678,-163.7594,-161.5892,-162.2197,-161.7787,-165.992,-177.4003,-182.7229,-186.2095,-186.2107,-183.3962,-180.8504,-175.2858,-168.0655,-155.184,-153.9075,-144.8037,-125.1153,-79.37178,-11.59291,76.16998,-96.2224,87.62801,0.2218697,-0.2209326,1.170182
67.53336,-116.5547,-316.589,-286.0176,-266.7377,-254.025,-245.831,-241.505,-231.7814,-216.6935,-205.0822,-197.2778,-186.6419,-178.8896,-180.1347,-147.9832,-86.1235,-74.50961,-77.80695,-75.52435,-119.3817,-157.9171,-158.5913,-163.3689,-160.4258,-159.6469,-162.3039,-165.454,-177.1447,-182.2783,-185.0074,-186.6621,-182.708,-179.1889,-174.0101,-166.9055,-155.7013,-153.3987,-145.5788,-125.8809,-78.87801,-11.83442,75.33556,-95.73827,85.86662,-0.4437157,0.33198,0.936102
67.1722,-115.1038,-318.0655,-284.8,-266.4963,-253.038,-246.3413,-240.0003,-231.5341,-215.2186,-204.8449,-196.1433,-187.2371,-177.5768,-180.0155,-150.9959,-85.85479,-73.98304,-79.63766,-75.78255,-118.4634,-159.511,-157.9392,-161.4163,-160.2965,-159.261,-162.1726,-165.8575,-175.2275,-180.8334,-185.1276,-185.4207,-182.0199,-179.0611,-173.8825,-165.3589,-154.1494,-152.3811,-143.3828,-123.4749,-78.26082,-10.74759,77.24281,-93.4386,89.38941,-0.887439,0.8853324,0.5849883
67.89453,-115.1038,-316.8351,-285.0435,-266.0135,-253.7782,-245.7035,-240.3764,-231.163,-214.604,-204.0141,-195.8912,-186.999,-176.7415,-178.2272,-151.4779,-83.03328,-74.77288,-76.10699,-76.04075,-116.8891,-154.1164,-157.548,-161.0258,-159.6502,-159.6469,-160.3342,-164.5124,-174.4607,-180.6111,-183.5649,-184.0664,-180.8729,-178.8055,-173.4998,-165.4878,-153.6322,-152.3811,-144.0287,-124.1311,-77.64362,-10.74759,77.24281,-92.71239,90.71046,-0.2218536,-3.21E-05,0.8190684
68.97803,-115.8293,-316.7121,-286.0176,-264.9272,-255.3821,-246.4689,-241.7557,-231.9051,-216.6935,-204.8449,-197.1518,-187.7132,-178.2929,-179.5386,-151.3574,-84.10815,-74.50961,-76.49928,-72.81322,-117.1515,-152.6451,-159.6347,-161.8068,-159.0038,-157.8459,-161.2534,-164.3779,-175.6109,-181.1668,-183.9255,-183.7279,-181.6758,-179.3167,-173.2446,-165.6167,-154.1494,-151.7451,-142.737,-123.1468,-77.64362,-9.660754,77.1236,-94.28584,90.4903,-0.4437157,0.33198,1.170182
